Imie,Umiejetnosci Angular,Umiejetnosci Java,Umiejetnosci UI/UX,Umiejetnosci SQL,Znajomosc angielskiego,Suma Umiejetnosci,Wynagrodzenie
Helen Booth,0.7,0.0,0.17,0.72,0.81,2.4,41
Norris Vanduzer,0.54,0.85,0.23,0.05,0.0,1.67,49
Michael Pham,0.52,0.0,0.0,0.88,0.77,2.17,65
Barry Hindman,0.79,0.86,0.93,0.8,0.1,3.48,85
Anna Hoang,0.6,0.93,0.82,1.0,1.0,4.35,92
Mary Weldon,0.82,0.27,0.0,1.0,0.14,2.23,57
Gina Burkett,0.25,1.0,0.68,0.76,0.17,2.86,80
Dakota Baxley,0.06,0.98,1.0,0.05,0.0,2.09,48
Pamela Mchugh,0.0,0.92,0.0,0.74,0.24,1.9,31
Keith Burnett,1.0,0.6,0.62,0.79,0.67,3.68,92
Robert Tilley,0.6,1.0,0.31,1.0,0.1,3.01,81
Robert Jones,0.41,0.54,0.23,0.0,0.0,1.18,48
Janet Shannon,0.0,0.0,0.21,0.23,0.0,0.44,39
Jeffrey Prioletti,0.36,0.11,0.34,1.0,1.0,2.81,96
Earl Castle,0.49,0.21,0.72,0.51,0.0,1.93,39
Bruce Smith,1.0,1.0,0.55,0.94,0.25,3.74,79
Reginald Kahn,0.22,0.29,0.81,0.13,0.9,2.35,45
Lyle Keplin,0.32,0.78,0.87,0.09,0.0,2.06,42
Joy Archie,0.0,0.32,0.06,0.68,0.56,1.62,61
Christopher Grantham,0.0,0.0,0.28,0.8,0.39,1.47,34
Elvia Snider,0.0,0.56,0.95,0.93,0.0,2.44,68
Ronald Shupe,0.74,0.76,0.33,0.86,0.85,3.54,73
Violet Aldrich,1.0,1.0,0.18,0.43,0.88,3.49,79
Gladys Risinger,0.23,0.74,0.69,0.19,0.23,2.08,37
Fred Solomon,0.1,0.58,0.63,0.15,0.21,1.67,47
Herbert Johnson,0.07,0.63,0.9,0.73,0.38,2.71,79
Robert Miller,0.75,0.0,0.0,0.53,0.13,1.41,55
Aretha Wright,0.43,0.31,0.43,0.56,0.54,2.27,33
Ronnie Richards,0.0,1.0,0.06,0.03,0.0,1.09,30
Kymberly Perez,0.45,0.04,0.12,0.0,0.07,0.68,48
Virgina Wait,0.19,0.59,0.16,0.54,1.0,2.48,64
Sherry Henderson,0.0,0.0,0.74,0.41,0.57,1.72,30
Jennifer Harvey,0.0,0.9,0.7,0.63,0.0,2.23,33
Arthur Smith,0.28,0.73,0.8,0.74,0.72,3.27,97
Edward Guttman,0.44,0.42,0.98,1.0,0.84,3.68,96
Kenneth Velazquez,0.62,0.0,0.02,0.0,0.0,0.64,38
Peggy Wright,0.0,0.0,0.51,1.0,0.66,2.17,67
Loretta Wilson,0.06,0.0,0.19,0.67,0.0,0.92,56
Javier Oliver,0.41,0.0,0.85,0.83,0.44,2.53,51
Eddie Zubiate,0.87,0.0,0.0,0.38,0.07,1.32,50
Peter Daner,0.17,0.0,0.07,0.01,0.0,0.25,37
Shawn Mason,0.64,0.73,0.05,0.22,0.79,2.43,44
Rita Robinson,0.53,0.84,0.59,0.85,0.59,3.4,74
Michael Mccloud,0.46,0.6,1.0,0.04,0.43,2.53,32
Jeffery Bigelow,0.0,0.17,1.0,1.0,0.0,2.17,43
Sue Lytle,0.18,0.58,0.54,0.0,0.92,2.22,41
Thomas Vincent,0.0,0.67,0.01,0.0,0.0,0.68,46
Diana Cummins,0.0,0.21,0.38,0.83,0.34,1.76,35
Ivan Serrano,0.63,0.16,0.71,0.53,0.8,2.83,73
Gloria Cannon,0.31,0.18,0.14,0.15,0.0,0.78,31
Angela Gonzalez,1.0,0.4,0.29,0.11,1.0,2.8,86
Jeniffer Becerra,1.0,0.53,0.48,0.13,0.0,2.14,33
Stuart Brannen,0.66,0.96,0.0,0.58,0.71,2.91,70
Phylicia Robinson,0.03,0.43,0.0,0.06,0.92,1.44,62
Martin Kingore,0.47,0.11,0.75,0.13,0.02,1.48,51
Vivian Veach,0.0,1.0,0.18,0.35,0.97,2.5,68
Hong Tran,1.0,0.59,0.0,1.0,0.72,3.31,86
Robert Duquette,0.0,0.18,0.0,0.62,0.24,1.04,68
Alfred Higgins,0.32,0.41,0.0,0.01,0.87,1.61,39
June Baron,0.98,0.02,0.64,0.27,0.25,2.16,52
Janet Austin,1.0,0.1,0.37,0.81,1.0,3.28,85
John Jones,0.06,0.11,0.72,0.49,0.8,2.18,47
Melvin Watson,0.2,0.0,1.0,0.15,0.48,1.83,53
Janine Sheats,0.44,0.32,0.46,1.0,0.35,2.57,30
Bertha Plourde,0.9,0.6,0.15,0.04,0.76,2.45,36
Mathew Mendosa,0.0,0.05,0.49,0.0,0.18,0.72,60
Justin Ruiz,0.0,0.0,0.52,0.0,0.66,1.18,59
Christopher Grant,0.0,0.06,0.16,0.51,0.0,0.73,32
Rose Peitz,0.89,0.64,0.28,0.46,1.0,3.27,72
Alva Walker,0.95,0.4,0.58,0.98,0.84,3.75,94
Edward Boger,0.71,0.0,0.59,0.81,1.0,3.11,87
Sally Parker,0.05,1.0,0.49,0.82,0.7,3.06,86
Brian Montanez,0.03,0.0,0.81,0.31,0.68,1.83,68
Donald Roberts,1.0,1.0,0.0,0.24,1.0,3.24,76
Patti Bush,0.77,0.35,0.68,0.72,0.59,3.11,85
Anthony Beaushaw,0.0,0.0,1.0,0.0,0.75,1.75,68
Joesph Merrell,1.0,0.28,0.07,0.25,0.85,2.45,64
Mike King,0.18,0.0,0.27,0.0,0.44,0.89,53
Wai Nelson,0.29,0.36,0.0,0.55,0.65,1.85,49
Zelda Morgan,0.0,0.49,0.95,0.02,0.0,1.46,39
Savannah Dawson,0.0,0.02,0.0,0.05,0.23,0.3,66
Vicki Hamilton,0.4,0.04,1.0,0.55,0.43,2.42,47
Erin Kirkham,0.88,1.0,1.0,0.28,1.0,4.16,96
Edwin Davis,0.71,0.45,0.02,0.98,0.58,2.74,92
Stephanie Livengood,0.0,1.0,0.95,0.25,0.37,2.57,37
Terri Smith,1.0,0.2,0.87,0.0,0.54,2.61,38
Laura Dueno,0.47,0.0,0.67,0.08,0.89,2.11,52
Laura Dixon,0.63,0.08,0.0,0.3,0.0,1.01,38
Gordon Holman,0.0,1.0,0.0,1.0,0.49,2.49,47
Ashley Martin,0.82,0.01,0.69,1.0,0.4,2.92,79
Kasey Burgos,0.64,0.89,0.0,0.56,0.89,2.98,94
Jordan Green,0.15,0.42,0.4,0.82,0.53,2.32,63
Amanda Schmid,0.61,0.95,0.83,0.61,0.72,3.72,76
Keith Gonzalez,0.49,1.0,0.0,0.18,0.1,1.77,36
Velma Hilliard,1.0,0.45,1.0,0.0,0.16,2.61,48
Lana Petty,0.52,0.48,0.09,0.4,0.63,2.12,30
William Natividad,0.29,0.0,0.0,0.0,0.22,0.51,54
Ronald Brown,0.36,1.0,0.86,0.0,0.42,2.64,34
Donna Rust,0.41,1.0,0.6,0.02,0.0,2.03,59
Sean Cooke,0.65,0.02,0.0,0.33,0.0,1.0,56
Mario Reardon,0.53,0.0,0.0,0.17,0.91,1.61,30
Jerry Scott,0.0,1.0,0.81,0.01,0.56,2.38,60
James Weeks,0.63,0.04,0.5,1.0,0.0,2.17,67
Herlinda Canela,0.65,0.98,0.47,0.6,0.0,2.7,48
Roberto Helmus,1.0,0.29,1.0,1.0,0.15,3.44,76
Mona Moreno,0.0,0.0,0.3,0.0,0.58,0.88,62
Maria Trott,1.0,0.46,0.95,0.44,0.76,3.61,82
Vanessa Bryant,0.72,0.0,0.1,0.37,0.44,1.63,34
Dustin Layman,0.56,0.0,0.0,0.0,0.2,0.76,30
Rex Standish,0.23,0.94,0.0,0.78,0.61,2.56,37
Mary Martin,1.0,0.33,0.96,0.52,0.81,3.62,76
Roy Palmer,1.0,0.0,0.68,0.71,0.27,2.66,51
Michael Walden,0.76,0.43,0.69,0.0,0.0,1.88,42
Christina Jacko,0.14,0.6,0.32,0.0,0.04,1.1,67
Vicki Hunter,0.31,0.69,0.0,0.59,0.0,1.59,58
Landon Elizondo,0.52,0.32,0.38,0.65,0.05,1.92,59
Nathan Mcclean,1.0,0.95,0.82,0.72,1.0,4.49,84
Tom Jones,0.82,0.51,0.45,0.31,1.0,3.09,82
Evelyn Phillips,0.57,0.52,0.47,1.0,0.36,2.92,73
Steven Lopez,0.8,1.0,0.0,0.01,0.87,2.68,36
Alice Marshall,0.77,0.13,0.79,0.0,0.28,1.97,61
Carrie Smith,0.19,0.67,0.0,0.6,0.0,1.46,39
Dan Tejeiro,0.95,0.0,0.71,0.0,0.7,2.36,43
Chris Guercio,0.81,0.0,0.0,0.16,0.48,1.45,66
Edward Roblez,1.0,0.3,0.0,0.94,0.24,2.48,32
Timothy Seitz,0.64,0.0,0.45,0.16,0.0,1.25,65
Donald Johnson,0.45,0.23,0.23,0.55,0.77,2.23,68
Marina Vaughn,0.03,0.39,0.37,0.46,0.75,2.0,31
Stephanie Ritchie,0.0,0.36,0.45,0.0,0.71,1.52,50
Richard Nowak,0.09,1.0,0.11,0.21,0.2,1.61,46
